Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
N A159 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29076)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A160 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29077)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,märklapp,63.4305,10.401
N A161 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29151)",(63.4305 ; 10.4010),,,M 1150-1200,,,trä,trä,pilspets,63.4305,10.401
N A162 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29251)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,runkavel,63.4305,10.401
N A163 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29324)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A164 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-29918)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,märklapp,63.4305,10.401
N A165 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-30468)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,saxskrin,63.4305,10.401
N A166 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-30690)",(63.4305 ; 10.4010),,,M 1100-1150,,,trä,trä,nyckel,63.4305,10.401
N A167 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-30844)",(63.4305 ; 10.4010),,,M 1100-1150,,,ben/horn,valben,stycke av valben,63.4305,10.401
N A168 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-31162)",(63.4305 ; 10.4010),,,M,,,trä,trä,märklapp?,63.4305,10.401
N A169 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-31495)",(63.4305 ; 10.4010),,,M 1100-1150,,,trä,trä,fragment av runkavel,63.4305,10.401
N A170 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-31496)",(63.4305 ; 10.4010),,,M 1150-1200,,,trä,trä,trätapp,63.4305,10.401
N A171 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-32000)",(63.4305 ; 10.4010),,,M s 1000-t,,,ben/horn,ben,beslag,63.4305,10.401
N A172 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-32395)",(63.4305 ; 10.4010),,,M s 1000-t,,,trä,trä,beslag,63.4305,10.401
N A173 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-32836)",(63.4305 ; 10.4010),,,M 1150-1200,,,trä,trä,runkavel,63.4305,10.401
N A174  ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-32965)",(63.4305 ; 10.4010),,,V s 900-t - 1100,,,trä,trä,trästycke liknande ett knivblad,63.4305,10.401
N A175  ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-33456)",(63.4305 ; 10.4010),,,V 1050-1100,,,trä,trä,trälapp,63.4305,10.401
N A176 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-34071)",(63.4305 ; 10.4010),,,M s 1000-t - s 1100-t,,,trä,trä,käpp,63.4305,10.401
