Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U NOR1997;30A $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 1000-t - b 1100-t,,,ben/horn,ben,"runben, revben",59.62964651,,59.6165,17.7235,59.62964651,17.7235
U NOR1997;30B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1250-1300,,,ben/horn,ben,"runben, revben",59.6296134,,59.6165,17.7235,59.6296134,17.7235
U NOR1997;30C $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,f-runan spegelvänd,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62958026,,59.6165,17.7235,59.62958026,17.7235
U NOR1997;30D M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62954709,,59.6165,17.7235,59.62954709,17.7235
U NOR1997;30E M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62951389,,59.6165,17.7235,59.62951389,17.7235
U NOR1997;30F  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M,,,ben/horn,ben,"runben, revben",59.62948066,,59.6165,17.7235,59.62948066,17.7235
U NOR1997;31 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M ca 1200,,,ben/horn,ben,knivskaft,59.6294474,,59.6165,17.7235,59.6294474,17.7235
U NOR1998;23A  ,Ekerö kyrka,Ekerö sn,Färentuna ,Ekerö,I vapenhuset.,6573998.161,,,V,,,sten,röd sandsten,fragment av runsten,59.28661068,,59.2975,17.8142,59.28661068,17.8142
U NOR1998;23B  ,Ekerö kyrka,Ekerö sn,Färentuna ,Ekerö,I vapenhuset.,6573997.161,,,V,,,sten,röd sandsten,fragment av runsten,59.28656884,,59.2975,17.8142,59.28656884,17.8142
U NOR1998;24 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62934744,,59.6165,17.7235,59.62934744,17.7235
U NOR1998;25 $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M ca 1100,,,ben/horn,ben,"runben, revben",59.62931406,,59.6165,17.7235,59.62931406,17.7235
