Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
GR 9 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10652), deponerat i Nunatta Katersugaasiviata Allagaateqarfiatalu, Nuuk (Grønlands nationalmuseum & arkiv)",,stungna u-runor (Y),,M,,,trä,trä,kors,,
GR 10 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10631)",,stungen m-runa,,M,,,trä,furu,kors,,
GR 11 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10664), deponerat i Nunatta Katersugaasiviata Allagaateqarfiatalu, Nuuk (Grønlands nationalmuseum & arkiv)",,,,M,,,trä,furu,kors,,
GR 12 $M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10664), deponerat i Nunatta Katersugaasiviata Allagaateqarfiatalu, Nuuk (Grønlands nationalmuseum & arkiv)",,,,M,,,trä,en,kors,,
GR 13 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10639)",,stungna u-runor (Y),,M,,,trä,trä,kors,,
GR 14 $M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10653)",,,,M,,,trä,trä,kors,,
GR 15 $M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10676)",,ø-runan har genomgående bistavar snett uppåt höger,,M,,,trä,trä,pinne,,
GR 16 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11166)",,,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 17 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11166,97",,spegelvänd k-runa,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 18 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11166,62), deponerat i Qaqortoq/Julianehåb",,,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 19 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11166,96)",,,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 20 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11166,98)",,,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 21 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11168,115)",,,,M,,,sten,täljsten,platta,,
GR 22 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11169,111)",,,,M,,,sten,täljsten,fragment av skål,,
GR 23 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11169,1)",,,,M,,,sten,täljsten,fragment av kärl,,
GR 24 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11168,53)",,,,M,,,sten,täljsten,platta,,
GR 25 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10461)",,,,M,,,sten,täljsten,sländtrissa,,
GR 26 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D6746)",,,,M,,,sten,täljsten,platta,,
GR 27 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11168,131)",,,,M,,,sten,täljsten,fragment av platta,,
GR 28 M ,"Qassiarsuk/Brattahlid, Nordgården (Ø 29a)",,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D12207)",,,,M,,,trä,trä,krok,,
GR 29 $M ,Igaliku Kujalleq (Ø 66),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D1588)",,,,M,,,sten,täljsten,fragment av vävvikt?,,
GR 30 $M ,Igaliku Kujalleq (Ø 66),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D7502,41)",,,,M,,,sten,täljsten,fragment av handtag,,
GR 31 $M ,Tingimiut (Ø 2),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D7498,16)",,,,M,,,sten,täljsten,fragment av sländtrissa,,
GR 32 M ,"Qassiarsuk/Brattahlid, Elvgården (Ø 29)",,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D7500,2)",,,,M,,,sten,täljsten,stöpform till sländtrissa,,
GR 33 M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11766)",,,,M,,,ben/horn,valbard,utskuren platta,,
GR 34 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11740)",,"e-runa med ring, b-runa med enbart nedre båge, lågt ansatt bistav på u-runan",,M,,,trä,trä,radband,,
